vi,en
"Lưu ý, máy xúc số ba bị rò điện, gọi đội bảo trì!","Attention, excavator number three has an electrical leakage, call the maintenance team!"
"Cảnh báo, máy trộn bê tông đang kêu to lắm, gọi đội bảo trì!","Warning, the concrete mixer is making a loud noise, call the maintenance team!"
"Nhanh lên, bơm chìm bị nổ lốp, gọi thợ sửa đi!","Hurry up, the submersible pump has a tire blowout, call the repairman!"
"Lưu ý, máy hàn bị xì nhớt thủy lực, chụp hình lại!","Attention, the welding machine is leaking hydraulic fluid, take a picture!"
"Lưu ý, máy xúc số ba bị nổ lốp, gọi đội bảo trì!","Attention, excavator number three has a tire blowout, call the maintenance team!"
"Cảnh báo, máy trộn bê tông bị kẹt cứng rồi, gọi đội bảo trì!","Warning, the concrete mixer is jammed, call the maintenance team!"
"Khẩn cấp, máy đóng cọc hư motor rồi, cúp điện khẩn cấp!","Urgent, the pile driver has motor failure, cut the power urgently!"
"Khẩn cấp, cẩu tháp vừa bốc khói, lập biên bản!","Urgent, the tower crane just emitted smoke, make a report!"
"Anh em ơi, xe cẩu hư motor rồi, gọi thợ sửa đi!","Guys, the crane truck has motor failure, call the repairman!"
"Nhanh lên, cẩu tháp hư motor rồi, cúp điện khẩn cấp!","Hurry up, the tower crane has motor failure, cut the power urgently!"
"Ê bạn ơi, bơm chìm bị tuột sên, gọi đội bảo trì!","Hey buddy, the submersible pump slipped its chain, call the maintenance team!"
"Cảnh báo, cẩu tháp bị xì nhớt thủy lực, gọi đội bảo trì!","Warning, the tower crane is leaking hydraulic fluid, call the maintenance team!"
"Ê bạn ơi, máy đóng cọc không khởi động được, cúp điện khẩn cấp!","Hey buddy, the pile driver won't start, cut the power urgently!"
"Ê bạn ơi, xe ủi vừa bốc khói, kiểm tra lẹ giùm mình!","Hey buddy, the bulldozer just emitted smoke, please check it immediately!"
"Cảnh báo, máy trộn bê tông bị nổ lốp, chụp hình lại!","Warning, the concrete mixer has a tire blowout, take a picture!"
"Trời ơi, máy hàn bị nổ lốp, tránh xa ra!","Oh my god, the welding machine has a tire blowout, stay away!"
"Khẩn cấp, máy rải nhựa bị tuột sên, đổi máy khác!","Urgent, the asphalt paver slipped its chain, switch to another machine!"
"Cảnh báo, máy đóng cọc bị rò điện, báo cáo giám sát!","Warning, the pile driver has an electrical leakage, report to the supervisor!"
"Khẩn cấp, máy rải nhựa bị kẹt cứng rồi, lập biên bản!","Urgent, the asphalt paver is jammed, make a report!"
"Khẩn cấp, máy trộn bê tông đang kêu to lắm, dừng máy ngay!","Urgent, the concrete mixer is making a loud noise, stop the machine immediately!"
"Lưu ý, xe cẩu bị tuột sên, dừng máy ngay!","Attention, the crane truck slipped its chain, stop the machine immediately!"
"Cảnh báo, xe lu đang kêu to lắm, chụp hình lại!","Warning, the road roller is making a loud noise, take a picture!"
"Lưu ý, máy hàn vừa bốc khói, kiểm tra lẹ giùm mình!","Attention, the welding machine just emitted smoke, please check it immediately!"
"Cảnh báo, máy đóng cọc đang kêu to lắm, kiểm tra lẹ giùm mình!","Warning, the pile driver is making a loud noise, please check it immediately!"
"Cảnh báo, máy xúc số ba vừa bốc khói, cúp điện khẩn cấp!","Warning, excavator number three just emitted smoke, cut the power urgently!"
"Trời ơi, máy đóng cọc bị tuột sên, tránh xa ra!","Oh my god, the pile driver slipped its chain, stay away!"
"Trời ơi, máy đóng cọc bị rò điện, chụp hình lại!","Oh my god, the pile driver has an electrical leakage, take a picture!"
"Nhanh lên, xe lu bị nổ lốp, lập biên bản!","Hurry up, the road roller has a tire blowout, make a report!"
"Anh em ơi, máy hàn bị kẹt cứng rồi, gọi đội bảo trì!","Guys, the welding machine is jammed, call the maintenance team!"
"Trời ơi, bơm chìm đang kêu to lắm, tránh xa ra!","Oh my god, the submersible pump is making a loud noise, stay away!"
"Nhanh lên, bơm chìm đang kêu to lắm, gọi thợ sửa đi!","Hurry up, the submersible pump is making a loud noise, call the repairman!"
"Lưu ý, bơm chìm bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Attention, the submersible pump is jammed, please check it immediately!"
"Cảnh báo, xe ủi đang kêu to lắm, dừng máy ngay!","Warning, the bulldozer is making a loud noise, stop the machine immediately!"
"Cảnh báo, máy xúc số ba đang kêu to lắm, đổi máy khác!","Warning, excavator number three is making a loud noise, switch to another machine!"
"Trời ơi, cẩu tháp bị tuột sên, tránh xa ra!","Oh my god, the tower crane slipped its chain, stay away!"
"Nhanh lên, cẩu tháp bị rò điện, gọi đội bảo trì!","Hurry up, the tower crane has an electrical leakage, call the maintenance team!"
"Anh em ơi, xe ủi hư motor rồi, gọi thợ sửa đi!","Guys, the bulldozer has motor failure, call the repairman!"
"Lưu ý, máy rải nhựa hư motor rồi, kiểm tra lẹ giùm mình!","Attention, the asphalt paver has motor failure, please check it immediately!"
"Nhanh lên, máy hàn bị kẹt cứng rồi, đổi máy khác!","Hurry up, the welding machine is jammed, switch to another machine!"
"Cảnh báo, xe ủi đang kêu to lắm, lập biên bản!","Warning, the bulldozer is making a loud noise, make a report!"
"Khẩn cấp, máy rải nhựa bị tuột sên, kiểm tra lẹ giùm mình!","Urgent, the asphalt paver slipped its chain, please check it immediately!"
"Lưu ý, máy trộn bê tông đang kêu to lắm, gọi thợ sửa đi!","Attention, the concrete mixer is making a loud noise, call the repairman!"
"Lưu ý, máy xúc số ba không khởi động được, đổi máy khác!","Attention, excavator number three won't start, switch to another machine!"
"Anh em ơi, máy rải nhựa vừa bốc khói, chụp hình lại!","Guys, the asphalt paver just emitted smoke, take a picture!"
"Lưu ý, máy xúc số ba bị kẹt cứng rồi, cúp điện khẩn cấp!","Attention, excavator number three is jammed, cut the power urgently!"
"Trời ơi, máy xúc số ba bị xì nhớt thủy lực, báo cáo giám sát!","Oh my god, excavator number three is leaking hydraulic fluid, report to the supervisor!"
"Ê bạn ơi, cẩu tháp bị tuột sên, chụp hình lại!","Hey buddy, the tower crane slipped its chain, take a picture!"
"Anh em ơi, máy trộn bê tông bị rò điện, đổi máy khác!","Guys, the concrete mixer has an electrical leakage, switch to another machine!"
"Cảnh báo, máy đóng cọc bị xì nhớt thủy lực, kiểm tra lẹ giùm mình!","Warning, the pile driver is leaking hydraulic fluid, please check it immediately!"
"Cảnh báo, xe lu bị tuột sên, lập biên bản!","Warning, the road roller slipped its chain, make a report!"
"Trời ơi, bơm chìm bị xì nhớt thủy lực, chụp hình lại!","Oh my god, the submersible pump is leaking hydraulic fluid, take a picture!"
"Khẩn cấp, cẩu tháp vừa bốc khói, cúp điện khẩn cấp!","Urgent, the tower crane just emitted smoke, cut the power urgently!"
"Trời ơi, máy trộn bê tông bị rò điện, gọi thợ sửa đi!","Oh my god, the concrete mixer has an electrical leakage, call the repairman!"
"Cảnh báo, máy rải nhựa bị kẹt cứng rồi, dừng máy ngay!","Warning, the asphalt paver is jammed, stop the machine immediately!"
"Khẩn cấp, xe ủi bị xì nhớt thủy lực, dừng máy ngay!","Urgent, the bulldozer is leaking hydraulic fluid, stop the machine immediately!"
"Ê bạn ơi, máy hàn hư motor rồi, cúp điện khẩn cấp!","Hey buddy, the welding machine has motor failure, cut the power urgently!"
"Ê bạn ơi, xe cẩu không khởi động được, báo cáo giám sát!","Hey buddy, the crane truck won't start, report to the supervisor!"
"Khẩn cấp, máy hàn đang kêu to lắm, đổi máy khác!","Urgent, the welding machine is making a loud noise, switch to another machine!"
"Khẩn cấp, máy xúc số ba bị tuột sên, báo cáo giám sát!","Urgent, excavator number three slipped its chain, report to the supervisor!"
"Nhanh lên, máy đóng cọc không khởi động được, lập biên bản!","Hurry up, the pile driver won't start, make a report!"
"Trời ơi, máy hàn đang kêu to lắm, tránh xa ra!","Oh my god, the welding machine is making a loud noise, stay away!"
"Nhanh lên, máy xúc số ba hư motor rồi, dừng máy ngay!","Hurry up, excavator number three has motor failure, stop the machine immediately!"
"Nhanh lên, máy rải nhựa bị xì nhớt thủy lực, gọi đội bảo trì!","Hurry up, the asphalt paver is leaking hydraulic fluid, call the maintenance team!"
"Ê bạn ơi, bơm chìm vừa bốc khói, dừng máy ngay!","Hey buddy, the submersible pump just emitted smoke, stop the machine immediately!"
"Ê bạn ơi, máy xúc số ba bị xì nhớt thủy lực, tránh xa ra!","Hey buddy, excavator number three is leaking hydraulic fluid, stay away!"
"Báo cáo kỹ sư, bơm chìm vừa bốc khói.","Report to engineer, the submersible pump just emitted smoke."
"Anh em ơi, xe ủi bị nổ lốp, cúp điện khẩn cấp!","Guys, the bulldozer has a tire blowout, cut the power urgently!"
"Lưu ý, xe lu bị xì nhớt thủy lực, lập biên bản!","Attention, the road roller is leaking hydraulic fluid, make a report!"
"Lưu ý, máy trộn bê tông vừa bốc khói, cúp điện khẩn cấp!","Attention, the concrete mixer just emitted smoke, cut the power urgently!"
"Lưu ý, cẩu tháp đang kêu to lắm, cúp điện khẩn cấp!","Attention, the tower crane is making a loud noise, cut the power urgently!"
"Anh em ơi, bơm chìm bị tuột sên, tránh xa ra!","Guys, the submersible pump slipped its chain, stay away!"
"Cảnh báo, xe cẩu hư motor rồi, lập biên bản!","Warning, the crane truck has motor failure, make a report!"
"Nhanh lên, bơm chìm bị nổ lốp, gọi đội bảo trì!","Hurry up, the submersible pump has a tire blowout, call the maintenance team!"
"Lưu ý, máy đóng cọc bị rò điện, dừng máy ngay!","Attention, the pile driver has an electrical leakage, stop the machine immediately!"
"Ê bạn ơi, máy hàn bị kẹt cứng rồi, báo cáo giám sát!","Hey buddy, the welding machine is jammed, report to the supervisor!"
"Ê bạn ơi, xe ủi bị nổ lốp, gọi thợ sửa đi!","Hey buddy, the bulldozer has a tire blowout, call the repairman!"
"Lưu ý, xe ủi bị nổ lốp, báo cáo giám sát!","Attention, the bulldozer has a tire blowout, report to the supervisor!"
"Anh em ơi, xe cẩu bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Guys, the crane truck is jammed, please check it immediately!"
"Khẩn cấp, máy đóng cọc bị rò điện, lập biên bản!","Urgent, the pile driver has an electrical leakage, make a report!"
"Khẩn cấp, xe cẩu hư motor rồi, đổi máy khác!","Urgent, the crane truck has motor failure, switch to another machine!"
"Ê bạn ơi, xe ủi bị kẹt cứng rồi, tránh xa ra!","Hey buddy, the bulldozer is jammed, stay away!"
"Cảnh báo, máy trộn bê tông bị rò điện, tránh xa ra!","Warning, the concrete mixer has an electrical leakage, stay away!"
"Lưu ý, máy rải nhựa bị xì nhớt thủy lực, kiểm tra lẹ giùm mình!","Attention, the asphalt paver is leaking hydraulic fluid, please check it immediately!"
"Nhanh lên, máy rải nhựa bị tuột sên, lập biên bản!","Hurry up, the asphalt paver slipped its chain, make a report!"
"Anh em ơi, máy đóng cọc bị xì nhớt thủy lực, gọi thợ sửa đi!","Guys, the pile driver is leaking hydraulic fluid, call the repairman!"
"Ê bạn ơi, xe ủi bị xì nhớt thủy lực, gọi thợ sửa đi!","Hey buddy, the bulldozer is leaking hydraulic fluid, call the repairman!"
"Trời ơi, xe lu bị kẹt cứng rồi, lập biên bản!","Oh my god, the road roller is jammed, make a report!"
"Cảnh báo, cẩu tháp bị kẹt cứng rồi, tránh xa ra!","Warning, the tower crane is jammed, stay away!"
"Anh em ơi, xe cẩu bị tuột sên, gọi thợ sửa đi!","Guys, the crane truck slipped its chain, call the repairman!"
"Khẩn cấp, cẩu tháp bị tuột sên, dừng máy ngay!","Urgent, the tower crane slipped its chain, stop the machine immediately!"
"Trời ơi, xe lu bị tuột sên, tránh xa ra!","Oh my god, the road roller slipped its chain, stay away!"
"Anh em ơi, cẩu tháp bị nổ lốp, đổi máy khác!","Guys, the tower crane has a tire blowout, switch to another machine!"
"Anh em ơi, máy hàn đang kêu to lắm, đổi máy khác!","Guys, the welding machine is making a loud noise, switch to another machine!"
"Lưu ý, máy xúc số ba không khởi động được, cúp điện khẩn cấp!","Attention, excavator number three won't start, cut the power urgently!"
"Khẩn cấp, xe lu vừa bốc khói, kiểm tra lẹ giùm mình!","Urgent, the road roller just emitted smoke, please check it immediately!"
"Ê bạn ơi, xe cẩu bị xì nhớt thủy lực, lập biên bản!","Hey buddy, the crane truck is leaking hydraulic fluid, make a report!"
"Lưu ý, máy trộn bê tông không khởi động được, kiểm tra lẹ giùm mình!","Attention, the concrete mixer won't start, please check it immediately!"
"Trời ơi, bơm chìm bị rò điện, dừng máy ngay!","Oh my god, the submersible pump has an electrical leakage, stop the machine immediately!"
"Trời ơi, xe ủi bị xì nhớt thủy lực, gọi đội bảo trì!","Oh my god, the bulldozer is leaking hydraulic fluid, call the maintenance team!"
"Cảnh báo, máy hàn bị rò điện, lập biên bản!","Warning, the welding machine has an electrical leakage, make a report!"
"Nhanh lên, máy trộn bê tông bị rò điện, chụp hình lại!","Hurry up, the concrete mixer has an electrical leakage, take a picture!"
"Trời ơi, máy xúc số ba bị xì nhớt thủy lực, dừng máy ngay!","Oh my god, excavator number three is leaking hydraulic fluid, stop the machine immediately!"
"Cảnh báo, xe lu bị rò điện, chụp hình lại!","Warning, the road roller has an electrical leakage, take a picture!"
"Anh em ơi, máy hàn bị nổ lốp, lập biên bản!","Guys, the welding machine has a tire blowout, make a report!"
"Khẩn cấp, xe cẩu bị xì nhớt thủy lực, báo cáo giám sát!","Urgent, the crane truck is leaking hydraulic fluid, report to the supervisor!"
"Lưu ý, máy đóng cọc không khởi động được, đổi máy khác!","Attention, the pile driver won't start, switch to another machine!"
"Cảnh báo, bơm chìm vừa bốc khói, đổi máy khác!","Warning, the submersible pump just emitted smoke, switch to another machine!"
"Trời ơi, máy hàn bị xì nhớt thủy lực, báo cáo giám sát!","Oh my god, the welding machine is leaking hydraulic fluid, report to the supervisor!"
"Cảnh báo, máy hàn vừa bốc khói, dừng máy ngay!","Warning, the welding machine just emitted smoke, stop the machine immediately!"
"Nhanh lên, bơm chìm bị kẹt cứng rồi, gọi đội bảo trì!","Hurry up, the submersible pump is jammed, call the maintenance team!"
"Trời ơi, máy đóng cọc hư motor rồi, gọi đội bảo trì!","Oh my god, the pile driver has motor failure, call the maintenance team!"
"Anh em ơi, bơm chìm hư motor rồi, đổi máy khác!","Guys, the submersible pump has motor failure, switch to another machine!"
"Khẩn cấp, máy rải nhựa bị xì nhớt thủy lực, tránh xa ra!","Urgent, the asphalt paver is leaking hydraulic fluid, stay away!"
"Lưu ý, bơm chìm bị rò điện, báo cáo giám sát!","Attention, the submersible pump has an electrical leakage, report to the supervisor!"
"Nhanh lên, máy xúc số ba bị nổ lốp, lập biên bản!","Hurry up, excavator number three has a tire blowout, make a report!"
"Nhanh lên, cẩu tháp bị rò điện, chụp hình lại!","Hurry up, the tower crane has an electrical leakage, take a picture!"
"Khẩn cấp, cẩu tháp đang kêu to lắm, đổi máy khác!","Urgent, the tower crane is making a loud noise, switch to another machine!"
"Ê bạn ơi, cẩu tháp bị tuột sên, dừng máy ngay!","Hey buddy, the tower crane slipped its chain, stop the machine immediately!"
"Cảnh báo, máy rải nhựa bị tuột sên, tránh xa ra!","Warning, the asphalt paver slipped its chain, stay away!"
"Anh em ơi, máy trộn bê tông vừa bốc khói, cúp điện khẩn cấp!","Guys, the concrete mixer just emitted smoke, cut the power urgently!"
"Khẩn cấp, máy xúc số ba bị kẹt cứng rồi, cúp điện khẩn cấp!","Urgent, excavator number three is jammed, cut the power urgently!"
"Nhanh lên, máy xúc số ba hư motor rồi, tránh xa ra!","Hurry up, excavator number three has motor failure, stay away!"
"Anh em ơi, máy hàn không khởi động được, lập biên bản!","Guys, the welding machine won't start, make a report!"
"Nhanh lên, máy trộn bê tông bị nổ lốp, đổi máy khác!","Hurry up, the concrete mixer has a tire blowout, switch to another machine!"
"Lưu ý, máy trộn bê tông bị nổ lốp, báo cáo giám sát!","Attention, the concrete mixer has a tire blowout, report to the supervisor!"
"Khẩn cấp, máy xúc số ba hư motor rồi, gọi đội bảo trì!","Urgent, excavator number three has motor failure, call the maintenance team!"
"Cảnh báo, bơm chìm hư motor rồi, đổi máy khác!","Warning, the submersible pump has motor failure, switch to another machine!"
"Anh em ơi, máy trộn bê tông đang kêu to lắm, tránh xa ra!","Guys, the concrete mixer is making a loud noise, stay away!"
"Anh em ơi, xe ủi bị kẹt cứng rồi, dừng máy ngay!","Guys, the bulldozer is jammed, stop the machine immediately!"
"Trời ơi, máy xúc số ba không khởi động được, lập biên bản!","Oh my god, excavator number three won't start, make a report!"
"Khẩn cấp, xe ủi đang kêu to lắm, cúp điện khẩn cấp!","Urgent, the bulldozer is making a loud noise, cut the power urgently!"
"Anh em ơi, bơm chìm bị kẹt cứng rồi, dừng máy ngay!","Guys, the submersible pump is jammed, stop the machine immediately!"
"Nhanh lên, máy rải nhựa bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Hurry up, the asphalt paver is jammed, please check it immediately!"
"Nhanh lên, xe ủi bị nổ lốp, cúp điện khẩn cấp!","Hurry up, the bulldozer has a tire blowout, cut the power urgently!"
"Ê bạn ơi, máy rải nhựa bị tuột sên, gọi đội bảo trì!","Hey buddy, the asphalt paver slipped its chain, call the maintenance team!"
"Ê bạn ơi, máy đóng cọc vừa bốc khói, lập biên bản!","Hey buddy, the pile driver just emitted smoke, make a report!"
"Trời ơi, máy trộn bê tông bị tuột sên, gọi thợ sửa đi!","Oh my god, the concrete mixer slipped its chain, call the repairman!"
"Cảnh báo, máy rải nhựa hư motor rồi, dừng máy ngay!","Warning, the asphalt paver has motor failure, stop the machine immediately!"
"Nhanh lên, xe cẩu vừa bốc khói, tránh xa ra!","Hurry up, the crane truck just emitted smoke, stay away!"
"Trời ơi, xe cẩu bị nổ lốp, cúp điện khẩn cấp!","Oh my god, the crane truck has a tire blowout, cut the power urgently!"
"Trời ơi, xe ủi hư motor rồi, tránh xa ra!","Oh my god, the bulldozer has motor failure, stay away!"
"Cảnh báo, máy hàn bị xì nhớt thủy lực, chụp hình lại!","Warning, the welding machine is leaking hydraulic fluid, take a picture!"
"Anh em ơi, máy trộn bê tông đang kêu to lắm, đổi máy khác!","Guys, the concrete mixer is making a loud noise, switch to another machine!"
"Khẩn cấp, bơm chìm không khởi động được, lập biên bản!","Urgent, the submersible pump won't start, make a report!"
"Lưu ý, máy trộn bê tông bị xì nhớt thủy lực, tránh xa ra!","Attention, the concrete mixer is leaking hydraulic fluid, stay away!"
"Ê bạn ơi, bơm chìm vừa bốc khói, gọi thợ sửa đi!","Hey buddy, the submersible pump just emitted smoke, call the repairman!"
"Khẩn cấp, máy xúc số ba đang kêu to lắm, kiểm tra lẹ giùm mình!","Urgent, excavator number three is making a loud noise, please check it immediately!"
"Ê bạn ơi, xe cẩu đang kêu to lắm, cúp điện khẩn cấp!","Hey buddy, the crane truck is making a loud noise, cut the power urgently!"
"Anh em ơi, cẩu tháp vừa bốc khói, đổi máy khác!","Guys, the tower crane just emitted smoke, switch to another machine!"
"Anh em ơi, xe cẩu không khởi động được, báo cáo giám sát!","Guys, the crane truck won't start, report to the supervisor!"
"Cảnh báo, xe ủi bị rò điện, kiểm tra lẹ giùm mình!","Warning, the bulldozer has an electrical leakage, please check it immediately!"
"Lưu ý, bơm chìm bị rò điện, tránh xa ra!","Attention, the submersible pump has an electrical leakage, stay away!"
"Ê bạn ơi, bơm chìm bị rò điện, gọi đội bảo trì!","Hey buddy, the submersible pump has an electrical leakage, call the maintenance team!"
"Anh em ơi, cẩu tháp bị kẹt cứng rồi, gọi thợ sửa đi!","Guys, the tower crane is jammed, call the repairman!"
"Nhanh lên, cẩu tháp bị kẹt cứng rồi, cúp điện khẩn cấp!","Hurry up, the tower crane is jammed, cut the power urgently!"
"Ê bạn ơi, xe cẩu không khởi động được, kiểm tra lẹ giùm mình!","Hey buddy, the crane truck won't start, please check it immediately!"
"Cảnh báo, máy rải nhựa đang kêu to lắm, dừng máy ngay!","Warning, the asphalt paver is making a loud noise, stop the machine immediately!"
"Ê bạn ơi, cẩu tháp đang kêu to lắm, báo cáo giám sát!","Hey buddy, the tower crane is making a loud noise, report to the supervisor!"
"Lưu ý, máy xúc số ba bị tuột sên, gọi thợ sửa đi!","Attention, excavator number three slipped its chain, call the repairman!"
"Anh em ơi, cẩu tháp hư motor rồi, lập biên bản!","Guys, the tower crane has motor failure, make a report!"
"Nhanh lên, máy đóng cọc đang kêu to lắm, đổi máy khác!","Hurry up, the pile driver is making a loud noise, switch to another machine!"
"Cảnh báo, xe ủi hư motor rồi, báo cáo giám sát!","Warning, the bulldozer has motor failure, report to the supervisor!"
"Cảnh báo, máy xúc số ba bị tuột sên, gọi đội bảo trì!","Warning, excavator number three slipped its chain, call the maintenance team!"
"Nhanh lên, cẩu tháp không khởi động được, gọi thợ sửa đi!","Hurry up, the tower crane won't start, call the repairman!"
"Lưu ý, xe lu đang kêu to lắm, dừng máy ngay!","Attention, the road roller is making a loud noise, stop the machine immediately!"
"Nhanh lên, xe cẩu vừa bốc khói, gọi thợ sửa đi!","Hurry up, the crane truck just emitted smoke, call the repairman!"
"Ê bạn ơi, xe lu vừa bốc khói, kiểm tra lẹ giùm mình!","Hey buddy, the road roller just emitted smoke, please check it immediately!"
"Anh em ơi, máy rải nhựa vừa bốc khói, cúp điện khẩn cấp!","Guys, the asphalt paver just emitted smoke, cut the power urgently!"
"Ê bạn ơi, bơm chìm bị nổ lốp, dừng máy ngay!","Hey buddy, the submersible pump has a tire blowout, stop the machine immediately!"
"Nhanh lên, xe ủi vừa bốc khói, lập biên bản!","Hurry up, the bulldozer just emitted smoke, make a report!"
"Khẩn cấp, máy rải nhựa bị nổ lốp, gọi thợ sửa đi!","Urgent, the asphalt paver has a tire blowout, call the repairman!"
"Nhanh lên, xe ủi bị rò điện, chụp hình lại!","Hurry up, the bulldozer has an electrical leakage, take a picture!"
"Ê bạn ơi, bơm chìm bị xì nhớt thủy lực, gọi đội bảo trì!","Hey buddy, the submersible pump is leaking hydraulic fluid, call the maintenance team!"
"Lưu ý, xe lu vừa bốc khói, dừng máy ngay!","Attention, the road roller just emitted smoke, stop the machine immediately!"
"Lưu ý, xe lu bị kẹt cứng rồi, chụp hình lại!","Attention, the road roller is jammed, take a picture!"
"Lưu ý, máy đóng cọc hư motor rồi, tránh xa ra!","Attention, the pile driver has motor failure, stay away!"
"Trời ơi, máy hàn bị rò điện, báo cáo giám sát!","Oh my god, the welding machine has an electrical leakage, report to the supervisor!"
"Nhanh lên, máy hàn không khởi động được, chụp hình lại!","Hurry up, the welding machine won't start, take a picture!"
"Khẩn cấp, máy hàn bị rò điện, gọi thợ sửa đi!","Urgent, the welding machine has an electrical leakage, call the repairman!"
"Nhanh lên, máy hàn bị xì nhớt thủy lực, đổi máy khác!","Hurry up, the welding machine is leaking hydraulic fluid, switch to another machine!"
"Khẩn cấp, máy hàn bị nổ lốp, lập biên bản!","Urgent, the welding machine has a tire blowout, make a report!"
"Cảnh báo, xe ủi bị nổ lốp, gọi thợ sửa đi!","Warning, the bulldozer has a tire blowout, call the repairman!"
"Lưu ý, máy trộn bê tông bị xì nhớt thủy lực, gọi đội bảo trì!","Attention, the concrete mixer is leaking hydraulic fluid, call the maintenance team!"
"Khẩn cấp, máy trộn bê tông bị rò điện, đổi máy khác!","Urgent, the concrete mixer has an electrical leakage, switch to another machine!"
"Khẩn cấp, máy xúc số ba đang kêu to lắm, lập biên bản!","Urgent, excavator number three is making a loud noise, make a report!"
"Khẩn cấp, máy hàn vừa bốc khói, cúp điện khẩn cấp!","Urgent, the welding machine just emitted smoke, cut the power urgently!"
"Anh em ơi, máy đóng cọc vừa bốc khói, tránh xa ra!","Guys, the pile driver just emitted smoke, stay away!"
"Trời ơi, cẩu tháp bị nổ lốp, báo cáo giám sát!","Oh my god, the tower crane has a tire blowout, report to the supervisor!"
"Khẩn cấp, cẩu tháp bị tuột sên, lập biên bản!","Urgent, the tower crane slipped its chain, make a report!"
"Ê bạn ơi, máy trộn bê tông bị kẹt cứng rồi, dừng máy ngay!","Hey buddy, the concrete mixer is jammed, stop the machine immediately!"
"Anh em ơi, máy rải nhựa bị xì nhớt thủy lực, tránh xa ra!","Guys, the asphalt paver is leaking hydraulic fluid, stay away!"
"Trời ơi, máy xúc số ba bị kẹt cứng rồi, gọi đội bảo trì!","Oh my god, excavator number three is jammed, call the maintenance team!"
"Lưu ý, máy trộn bê tông bị xì nhớt thủy lực, kiểm tra lẹ giùm mình!","Attention, the concrete mixer is leaking hydraulic fluid, please check it immediately!"
"Cảnh báo, máy rải nhựa bị xì nhớt thủy lực, dừng máy ngay!","Warning, the asphalt paver is leaking hydraulic fluid, stop the machine immediately!"
"Cảnh báo, máy xúc số ba không khởi động được, kiểm tra lẹ giùm mình!","Warning, excavator number three won't start, please check it immediately!"
"Cảnh báo, xe cẩu đang kêu to lắm, báo cáo giám sát!","Warning, the crane truck is making a loud noise, report to the supervisor!"
"Cảnh báo, máy đóng cọc vừa bốc khói, tránh xa ra!","Warning, the pile driver just emitted smoke, stay away!"
"Anh em ơi, xe lu vừa bốc khói, tránh xa ra!","Guys, the road roller just emitted smoke, stay away!"
"Trời ơi, máy trộn bê tông đang kêu to lắm, cúp điện khẩn cấp!","Oh my god, the concrete mixer is making a loud noise, cut the power urgently!"
"Nhanh lên, máy hàn bị nổ lốp, lập biên bản!","Hurry up, the welding machine has a tire blowout, make a report!"
"Ê bạn ơi, máy xúc số ba bị tuột sên, chụp hình lại!","Hey buddy, excavator number three slipped its chain, take a picture!"
"Cảnh báo, xe ủi bị kẹt cứng rồi, chụp hình lại!","Warning, the bulldozer is jammed, take a picture!"
"Trời ơi, bơm chìm không khởi động được, tránh xa ra!","Oh my god, the submersible pump won't start, stay away!"
"Trời ơi, máy trộn bê tông vừa bốc khói, kiểm tra lẹ giùm mình!","Oh my god, the concrete mixer just emitted smoke, please check it immediately!"
"Lưu ý, máy xúc số ba bị kẹt cứng rồi, báo cáo giám sát!","Attention, excavator number three is jammed, report to the supervisor!"
"Cảnh báo, máy đóng cọc bị rò điện, lập biên bản!","Warning, the pile driver has an electrical leakage, make a report!"
"Khẩn cấp, xe ủi bị nổ lốp, kiểm tra lẹ giùm mình!","Urgent, the bulldozer has a tire blowout, please check it immediately!"
"Khẩn cấp, máy đóng cọc bị tuột sên, lập biên bản!","Urgent, the pile driver slipped its chain, make a report!"
"Ê bạn ơi, máy hàn hư motor rồi, đổi máy khác!","Hey buddy, the welding machine has motor failure, switch to another machine!"
"Nhanh lên, bơm chìm bị tuột sên, cúp điện khẩn cấp!","Hurry up, the submersible pump slipped its chain, cut the power urgently!"
"Cảnh báo, bơm chìm bị xì nhớt thủy lực, tránh xa ra!","Warning, the submersible pump is leaking hydraulic fluid, stay away!"
"Nhanh lên, bơm chìm đang kêu to lắm, chụp hình lại!","Hurry up, the submersible pump is making a loud noise, take a picture!"
"Nhanh lên, máy đóng cọc không khởi động được, dừng máy ngay!","Hurry up, the pile driver won't start, stop the machine immediately!"
"Trời ơi, máy hàn bị nổ lốp, gọi đội bảo trì!","Oh my god, the welding machine has a tire blowout, call the maintenance team!"
"Ê bạn ơi, máy đóng cọc hư motor rồi, lập biên bản!","Hey buddy, the pile driver has motor failure, make a report!"
"Cảnh báo, máy rải nhựa bị xì nhớt thủy lực, tránh xa ra!","Warning, the asphalt paver is leaking hydraulic fluid, stay away!"
"Ê bạn ơi, máy trộn bê tông bị xì nhớt thủy lực, chụp hình lại!","Hey buddy, the concrete mixer is leaking hydraulic fluid, take a picture!"
"Nhanh lên, xe cẩu không khởi động được, chụp hình lại!","Hurry up, the crane truck won't start, take a picture!"
"Cảnh báo, xe cẩu bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Warning, the crane truck is jammed, please check it immediately!"
"Ê bạn ơi, máy xúc số ba bị kẹt cứng rồi, lập biên bản!","Hey buddy, excavator number three is jammed, make a report!"
